"cod","desc_assunto","fk_cnj_assunto"
12848,"Evasão e Abandono",12794
12849,"Programas de Assistência Estudantil - Alimentação; Moradia; Creche; Transporte ",12794
12850,"Plano Municipal de Educação",12802
12851,"Processo de Elaboração",12850
12853,"Exames de Certificação - Diploma",12797
12854,"Infrequência Escolar",12797
12855,"Transporte",12797
12856,"Material Didático",12797
12857,"Bullying; Violência e Discriminação",12797
12858,"Formação Técnica Profissional",12797
12860,"Quantidade de Alunos por Sala",12797
12861,"Relações Étnico-Raciais",12797
12862,"Alimentação Escolar",12797
12863,"Regime Hospitalar ou Domiciliar durante Período de Internação",12797
12864,"Infraestrutura",12797
12865,"Estudos de Recuperação",12797
12866,"Jornada de Trabalho",12800
12867,"Carga Horária de Aulas/Processo de Atribuição de Aulas e Classes",12866
12868,"Absenteísmo Docente",12800
12869,"Licenças",12868
12870,"Faltas",12868
12871,"Licença Saúde",12869
12872,"Outras Licenças",12869
12873,"Faltas Justificadas",12870
12874,"Faltas não Justificadas",12870
12875,"Aposentadoria Especial",12800
12876,"Espécies de Vínculo de Trabalho",12800
12877,"Contrato Temporário",12876
12878,"Estatutário",12876
12879,"Ensino à Distância",12800
12880,"Certificação",12879
12881,"Plano de Carreira",12800
12882,"Progressão",12881
12883,"Certificação",12881
12884,"Concurso de Ingresso",12881
12885,"Remuneração",12800
12887,"Piso Salarial",12885
12888,"Greve",12800
12889,"Contrato Temporário",12888
12890,"Outros",12888
12891,"Formação",12800
12892,"Continuada",12891
12893,"Ausência de Vaga",12803
12894,"Corte Etário",12803
12895,"Acesso Próximo do Domicílio",12803
12896,"Matrícula de Irmãos na Mesma Escola",12803
12897,"Prioridade de Matrícula para Alunos com Deficiência",12803
12899,"Vestibular",12804
12900,"Acessibilidade",12899
12901,"Outros",12899
12902,"Exames Oficiais para Ingresso - Enem",12804
12903,"Acessibilidade",12902
12585,"Reversão de Desfiliação",11759
12588,"Crimes Conexos",287
12904,"Outros",12902
12906,"Acessibilidade",12905
12907,"Outros",12905
12908,"Militar",12807
12909,"Outras",12807
12910,"Formação Técnica e Profissional",12810
12911,"Itinerários Formativos do Ensino Médio",12810
12912,"Taxa de Inscrição",12902
12913,"Taxa de Inscrição",12905
12914,"Taxa de Inscrição",12899
12915,"Sistema Prisional",12793
12916,"Plano Estadual de Educação",12802
12917,"Plano Nacional de Educação",12802
12918,"Processo de Elaboração",12917
12919,"Processo de Elaboração",12916
12921,"Penalidades Disciplinares",12799
12922,"Omissão na Entrega de Notas",12797
12924,"Jubilamento de Aluno",12799
12925,"Financiamento Privado do Ensino Superior e/ou Pesquisa",12801
12926,"Exigência de Estágio Profissionalizante",12797
12927,"Currículo Escolar",12797
12932,"Mensalidades",12931
12933,"Ação Rescisória ",8826
12938,"Imunidade de Jurisdição e de Execução - Pessoas Jurídicas de Direito Internacional ",6191
12939,"Lei do Pavilhão - Trabalho a Bordo de Navio de Cruzeiros Marítimos ",6191
12940,"Mandado de Segurança ",8826
12943,"Processo Coletivo ",8826
12944,"Processo e Procedimento da Corregedoria ",8826
12946,"Ação Civil Pública ",12943
12947,"Antecipação de Tutela / Recebimento como Cautelar ",12933
12955,"Autenticação ",12940
12957,"Cabimento ",12933
12958,"Cabimento ",12940
12962,"Competência ",12940
12965,"Conflito de Competência ",8828
12966,"Consulta ",12944
12967,"Contestação ",12933
12968,"Correição Parcial ",12944
12970,"Decadência ",12933
12971,"Decisão Rescindenda ",12933
12972,"Depósito Prévio ",12933
12973,"Depósito Prévio de Multa Administrativa ",12940
12980,"Direito de Empresa ",7681
12982,"Documento Novo ",12933
12983,"Dolo ou Colusão entre as Partes ",12933
12984,"Emenda a Inicial ",12940
12989,"Execução Fiscal ",9148
12991,"Execução Provisória ",9148
12992,"Falsidade de Prova ",12933
12995,"Honorários Advocatícios ",12933
12996,"Impossibilidade Jurídica do Pedido ",12933
12586,"Filiação Partidária - Lista Especial",11755
10705,"Subteto Salarial",10288
13233,"Negativa de Prestação Jurisdicional ",8919
13000,"Intimação ",8875
13001,"Invalidação de Confissão, Desistência ou Transação ",12933
13002,"Juiz Impedido / Absolutamente Incompetente ",12933
13003,"Legitimidade ",8875
13004,"Legitimidade - Autoridade Coatora ",12940
13005,"Legitimidade Ativa ",12933
13007,"Mandado de Segurança Coletivo ",12943
13015,"Ofensa à Coisa Julgada ",12933
13017,"Pedido de Liminar ",12940
13018,"Pedido de Providências ",12944
13019,"Penhora de Salário / Proventos ",12940
13022,"Prazo / Contagem do Prazo ",8875
13023,"Prazo Decadencial ",12940
13025,"Pressuposto Processual ",12933
12460,"Corregedoria Eleitoral",11428
12645,"Autos Suplementares",11428
13026,"Pressupostos Processuais ",8938
13027,"Prevaricação / Concussão / Corrupção do Juiz ",12933
13028,"Processo de Alçada ",9045
13030,"Pronunciamento Explícito Prequestionamento ",12933
13032,"Prova Pré-constituída ",12940
13033,"Reclamação Disciplinar ",12944
13034,"Reexame de Fatos e Provas ",12933
13035,"Reiteração ",12940
13036,"Remessa Necessária ",9045
13038,"Revelia / Confissão ",12933
13042,"Transcendência ",12940
13045,"Ação Anulatória ",11786
13047,"Ação Rescisória ",12958
13065,"Arbitragem ",13026
13070,"Astreintes ",12946
13071,"Ato Contrário à Boa Ordem Processual ",12968
13072,"Ato que Importe em Atentado a Fórmulas Legais de Processo ",12968
13076,"Autenticação ",13007
13077,"Autoridade Coatora ",13007
13079,"Auxílio Moradia ",10288
13081,"BACEN JUD / Frustração da Ordem Judicial de Bloqueio ",13018
13087,"Cabimento ",13007
13088,"Cabimento / Interesse Processual ",12946
13093,"Cláusula Penal ",10686
13094,"Coisa Julgada ",13026
13099,"Competência Funcional ",8829
13100,"Competência Territorial ",8829
13109,"Conexão ",8829
13111,"Conselhos Regionais de Fiscalização Profissional e Afins ",10015
13116,"Contradição entre Fundamentação e Dispositivo ",12985
13133,"Decisão Judicial ",12958
13135,"Denunciação da Lide ",8859
13142,"Diversos ",13018
13144,"Doença do Próprio Empregado ",10258
13146,"Dúvidas Apresentadas pelos Tribunais Regionais, seus Órgãos / Integrantes ",12966
13148,"Decisão Homologatória ",12957
13150,"Embargos de Terceiro ",11786
13151,"Emenda a Inicial ",13007
13159,"Erros / Abusos ",12968
13170,"Falência ",8939
13188,"Impedimento ",8888
13217,"Justificado Receio de Dano Irreparável ou de Difícil Reparação ",12968
13218,"Legitimidade ",13007
13219,"Legitimidade Ativa ",12946
13220,"Lide Simulada ",12983
13221,"Litispendência ",13026
13223,"Magistrado não Vitalício ",13033
13224,"Magistrado Vitalício ",13033
13244,"Parte ou Sucessor no Processo da Decisão Rescindenda ",13005
13257,"Prazo / Termo Inicial ",12967
13258,"Prazo Decadencial ",13007
13263,"Prevenção ",8829
13266,"Processo Fraudulento ",13001
13269,"Prova do Trânsito em Julgado da Decisão Rescindenda ",13025
13270,"Insuficiência do Depósito ",12972
13271,"Prova Pré-constituída ",13007
13277,"Recuperação Judicial ",8939
13284,"Remessa Ex-Officio ",12958
13287,"Representação Processual ",13025
13289,"Reserva de Plenário ",8919
13298,"Sentença de Liquidação ",12957
13300,"Sentença Normativa - Modificação ",13015
13304,"Suspeição ",8888
13312,"Termo de Ajustamento de Conduta - TAC ",12946
13314,"Termo Inicial do Prazo ",12970
13319,"Tutela Inibitória Obrigação de Fazer e Não Fazer ",12946
13320,"Contrariedade a Súmula ",12957
13321,"Vício de Citação ",8919
13322,"Vício de Consentimento ",13001
13329,"Acordo Prévio / Quitação Geral ",13148
13342,"Adjudicação / Arrematação / Cálculos ",13148
13343,"Agente / Viajante Comercial ",13100
13357,"Ausência de Justificativa ",13081
13359,"Auxílio-Alimentação Após a Aposentadoria - Benefício Assegurado em Regulamento da Empresa ",10652
13378,"Complementação de Aposentadoria / Pensão ",10652
13386,"Contribuições Previdenciárias ",10652
13390,"Dano Moral / Material ",10652
6138,"Reajustes e Revisões Específicos",6119
13398,"Descontos Fiscais ",10652
13415,"Empregados de Cartórios Extrajudiciais ",10652
13427,"Exercício das Atividades Fora do Lugar da Celebração do Contrato ",13100
13451,"Guias do Seguro Desemprego ",10652
13452,"Honorários Advocatícios ",10652
13461,"Interdito Proibitório ",10652
13462,"Interdito Proibitório ",13099
13471,"Levantamento do FGTS ",10652
13478,"Ministério Público ",13314
13505,"Práticas Procedimentais Contrárias aos Parâmetros Legais ",13142
13506,"Precatório ",13099
13525,"Relação de Trabalho ",10652
13549,"Trabalhador Brasileiro no Exterior ",13100
13612,"Reversão para a Parte Contrária ",12972
13834,"Ajuda de Custo",13831
13835,"Ajuda Combustível",13831
13836,"Ajuda Quilometragem",13831
13837,"Auxílio Creche",13831
13838,"Cesta Básica",13831
13839,"Comissões e Percentuais",13831
13840,"Complementação de Benefício Previdenciário",13831
13841,"Complemento Temporário Variável de Ajuste ao Piso de Mercado",13831
13842,"Contribuição de Previdência Privada - Resgate",13831
13843,"Décimo Terceiro Salário",13831
13848,"Gueltas",13831
13849,"Licenças e Folgas - Conversão em Pecúnia",13831
13850,"Multa Prevista em Norma Coletiva",13831
13851,"Participação nos Lucros e Resultados - PLR",13831
13852,"PIS - Indenização",13831
13853,"Plano de Saúde",13831
13859,"Seguro de Vida",13831
14070,"Fazenda Pública",10684
14083,"Dissídio Coletivo 1.160",12943
14084,"Comum Acordo para Ajuizamento",14083
14085,"Greve",14083
14086,"Natureza Econômica",14083
14087,"Natureza Jurídica",14083
14088,"Honorários Advocatícios",14083
14097,"Violência Doméstica e Familiar contra a Mulher",10949
14100,"Fato até 10/01/2023 Injúria Preconceituosa em Razão de Raça",12543
14101,"Fato até 10/01/2023 Injúria Preconceituosa em Razão de Cor",12543
14102,"Fato até 10/01/2023 Injúria Preconceituosa em Razão de Etnia",12543
14103,"Fato até 10/01/2023 Injúria Preconceituosa em Razão de Origem",12543
14104,"Condição de Pessoa Idosa",12543
14105,"Condição de Pessoa Portadora de Deficiência",12543
14106,"Orientação Sexual",12543
14107,"Identidade de Gênero",12543
14108,"Fato até 10/01/2023 Análogo à Injúria Preconceituosa em Razão de Raça",12547
14109,"Fato até 10/0/2023 Análogo à Injúria Preconceituosa em Razão de Origem",12547
14110,"Fato até 10/01/2023 Análogo à Injúria Preconceituosa em Razão de Etnia",12547
14111,"Fato até 10/01/2023 Análogo à Injúria Preconceituosa em Razão de Cor",12547
14112,"Condição de Pessoa  Idosa",12547
14113,"Condição de Pessoa Portadora de Deficiência",12547
14114,"Orientação Sexual",12547
14115,"Identidade de Gênero",12547
14122,"Tutela Provisória de Urgência",12958
14124,"Quebra de Sigilo Telemático",10604
14125,"Proteção de Dados Pessoais LGPD",12467
14127,"Crédito Rural",10402
14128,"FGTS",10394
14129,"Compensação Financeira pela Exploração de Recursos Minerais CFEM",10106
14130,"Sistema Prisional",9986
14131,"Dispensa",10385
14132,"Inexigibilidade",10385
14133,"Concorrência",10386
14134,"Tomada de Preço",10386
14135,"Convite",10386
14136,"Concurso",10386
14137,"Leilão",10386
14138,"Pregão",10386
14139,"Presencial",14138
14140,"Eletrônico",14138
14141,"Descontos Indevidos",10337
14142,"Adicional de Inatividade",10338
14143,"Gratificação de Compensação Orgânica",10338
14144,"Ajuda de Custo",10340
14145,"Soldo Legal e Ajustado",10341
14146,"Restituição ao Erário",10337
14147,"Valores Antecipados na Tutela Revogada/Cassada",14146
14148,"Acidentes",10502
14149,"Exposição a Substâncias Tóxicas - Dicloro-Difenil-Tricloroetano DDT/Mercúrio/Outras",14148
14150,"Concurso Público - Nomeação/Posse Tardia",10502
14151,"Correspondência - ECT",10502
14154,"Devolução de Cheques",10502
14155,"Inscrição em Cadastro Restrito de Crédito",10502
14156,"Protesto Indevido de Títulos",10502
14157,"Roubo/Leilão Indevido de Bem Empenhado",10502
14158,"Saque Fraudulento",10502
14159,"Política Pública de Preços",10502
14161,"Tráfego de Veículo com Excesso de Peso",10502
14162,"Acidentes",9992
14163,"Exposição a Substâncias Tóxicas Dicloro-Difenil-Tricloroetano DDT / Mercúrio / Outras",14162
7688,"Transmissão",7681
14164,"Ausência/Deficiência de Fiscalização",9992
14165,"Concurso Público - Nomeação/Posse Tardia",9992
14166,"Ausência/Deficiência de Fiscalização",10502
14167,"Correspondência - ECT",9992
14168,"Devolução de Cheques",9992
14169,"Inscrição em Cadastro Restritivo de Crédito",9992
14170,"Protesto Indevido de Títulos",9992
14171,"Roubo/Leilão Indevido de Bem Empenhado",9992
14172,"Saque Fraudulento",9992
14173,"Política Pública de Preços",9992
14174,"Tráfego de Veículo com Excesso de Peso",9992
14175,"Assédio Moral",9992
14176,"Tarifa",10075
14177,"Ciência Sem Fronteiras",12795
14178,"Renovação de Matrícula - Inadimplência",12795
14179,"Perda de Prazo de Matrícula",12795
14180,"Moléstia Profissional ou Doença Grave",10255
14181,"Tuberculose Ativa",14180
14182,"Alienação Mental",14180
14183,"Esclerose Múltipla",14180
14184,"Neoplasia Maligna",14180
14185,"Cegueira",14180
14186,"Hanseníase",14180
14187,"Cardiopatia Grave",14180
14188,"Doença de Parkinson",14180
14189,"Paralisia Irreversível e Incapacitante",14180
14190,"Espondilaortrose Anquisolante",14180
14191,"Nefropatia Grave",14180
14192,"Mal de Paget Osteíte Deformante",14180
14193,"Síndrome de Imunodeficiência Adquirida",14180
14194,"Acidente em Serviço",10255
14195,"Maioridade",10253
14196,"Índice da URP - 26,05% 1989",10313
14198,"Natureza do Cargo Acumulável",10225
14199,"Regime de Dedicação Exclusiva",10225
14200,"Limite de Carga Horária - Jornada Semanal",10225
14201,"Progressão Funcional com Interstício de Doze Meses",10236
14202,"Lei Geral de Proteção de Dados LGPD",9985
14203,"Proteção de Dados Pessoais",14202
14204,"Privacidade",14202
14205,"Lei Geral de Proteção de Dados LGPD",899
14206,"Proteção de Dados Pessoais",14205
14207,"Privacidade",14205
13402,"Desvio de Função ",1806
14226,"Crimes Previstos na Lei Maria da Penha",3603
14227,"Crime de Descumprimento de Medida Protetiva  de Urgência",14226
14228,"Previstos na Lei Maria da Penha",9847
14229,"Descumprimento de Medida Protetiva de Urgência",14228
14236,"Exercício Ilegal de Profissão ou Atividade",3692
14237,"Sistema Financeiro Imobiliário",4839
14238,"Produção Antecipada de Provas",10925
14239,"Gratificação de Condição Especial de Trabalho",10338
14240,"Matrícula - Ausência de Pré-Requisito",12795
14241,"Restituição ao Erário",10288
14659,"Tráfico Interno de Pessoa",3400
14660,"Remoção de Órgão",14659
14661,"Submissão à Condição Análoga à de Escravo",14659
14662,"Servidão",14659
14663,"Adoção Ilegal",14659
14664,"Exploração Sexual",14659
14665,"Tráfico Internacional de Pessoa ",3400
14666,"Exploração Sexual",14665
14667,"Adoção Ilegal",14665
14668,"Servidão",14665
14669,"Submissão à Condição Análoga à de Escravo",14665
14670,"Remoção de Órgão",14665
14674,"Apadrinhamento Prestador de Serviço",12341
14675,"Apadrinhamento Cultural",12341
14679,"Explosão da Fábrica de Fogos de Santo Antônio de Jesus/BA",12467
14684,"Perseguição",3400
14685,"Associação Criminosa",3520
14686,"Perseguição art. 147-A",9659
14687,"Associação Criminosa Art. 288",9803
14688,"Constituição de Milícia Privada Art. 288-A",9803
14689,"Constituição de Milícia Privada",3520
14690,"Condicionamento de Atendimento Médico Hospitalar Emergencial",3388
14691,"Condicionamento de Atendimento Médico Hospitalar Emergencial Art. 135-A",9648
14692,"Estelionato contra Idoso",3415
14693,"Estelionato contra Idoso Art. 171, § 4º",9674
14694,"DPVAT",10431
14698,"Dano Qualificado contra a Administração Pública",3415
14699,"Racismo",9847
14700,"Dano Qualificado contra a Administração Pública Art. 163, parágrafo único, III",9674
14703,"Registro Não Autorizado da Intimidade Sexual",3463
14704,"Promoção de Migração Ilegal",3463
14705,"Ato Obsceno",3463
14706,"Escrito ou Objeto Obsceno",3463
14707,"Valores Antecipados na Tutela Posteriormente Revogada/Cassada",10288
14708,"Ajuda de Custo",10298
14709,"Auxílio-Moradia",10298
14710,"Diárias",10298
14711,"Indenização de Transporte",10298
14712,"Conversão em Pecúnia",10301
14713,"Gratificação de Estímulo à Docência no Magistério Superior - GED",10290
14714,"Gratificação de Estímulo à Fiscalização e à Arrecadação dos Tributos Federais - GEFA",10290
14715,"Gratificação de Incremento da Fiscalização e da Arrecadação - GIFA",10290
14716,"Gratificação de Biênio Adicional Bienal",10290
14717,"Direito à Incorporação",10295
14718,"Portaria 474/87",10295
14719,"Reajuste",10295
14720,"Função Comissionada Integral - 100%",10718
14721,"Gratificação de Atividade Executiva - GAE",10718
14722,"Gratificação pelo Desempenho de Atividades de Apoio - GATA",10718
14723,"Gratificação pelo Desempenho de Atividades Rodoviárias - GDAR",10718
14724,"Gratificação de Desempenho de Atividade Técnico-Administrativo Educacional - GDAE",10718
14725,"Gratificação de Desempenho de Atividade do Seguro Social - GDASS",10718
14726,"Gratificação de Desempenho e Eficiência - GDE",10718
14727,"Gratificação Específica de Publicação e Divulgação da  Imprensa Nacional %u2013 GEPDIN",10718
14728,"Gratificação de Desempenho do Plano Geral de Cargos do Poder Executivo - GDPGPE",10718
14729,"Gratificação de Desempenho de Atividade Técnico-Administrativa e de Suporte - GDPGTAS",10718
14731,"Fraudes em Certames de Interesse Público",3523
14735,"Minha Casa, Minha Vida",4839
14740,"Protesto de CDA",4949
14741,"Índice de 14,23%",10307
14742,"Índice de 13,23%",10307
14744,"Paridade Salarial",10221
14745,"Gratificação Especial de Localidade - GEL",10718
14746,"Gratificação de Atividade de Risco",10718
14747,"Gratificação por Operações Especiais - GOE",10718
14748,"Gratificação Específica de Atividade Docente do Ensino Fundamental, Médio e Tecnológico - GEAD",10718
14749,"Gratificação de Desempenho da Carreira da Previdência, da Saúde e do Trabalho - GDPST",10718
14750,"Frentista",6100
14751,"Agente Cancerígeno",6100
14752,"Agente Agressivo - Biológico",6100
14753,"Agente Agressivo - Químico",6100
14754,"Agente Agressivo - Poeira",6100
14755,"Agente Agressivo - Ruído",6100
14756,"Agente Agressivo - Eletricidade",6100
14757,"Crédito Direto ao Consumidor - CDC",7752
14758,"Crédito Rotativo",7752
14759,"Tratamento Domiciliar Home Care",12481
14760,"Tratamento Domiciliar Home Care",12482
14761,"Garimpeiro",6100
14762,"Cômputo de Período Rural Remoto",12399
14763,"Vigilante",6100
14764,"Talidomida",6100
14765,"Hanseníase",6100
14766,"Seringueiro",6100
14767,"Professor",6100
14768,"Pessoa com Deficiência",6100
14769,"Por Idade",14768
14770,"Por Tempo de Contribuição",14768
14771,"Adicional de 25%",6095
14772,"Urbana art. 42/44",6095
14773,"Rural art. 42/44",6095
14779,"Caça Ilegal e Condutas Equiparadas",3619
14780,"Comércio, Posse ou Tráfico Proveniente de Caça Ilegal",3619
14781,"Importação Ilegal de Espécies Proibidas ou Controladas",3619
14782,"Maus Tratos",3619
14783,"Fauna Aquática Afetada por Traslado ou Descarte de Resíduos/Efluentes, ou Poluição ou Degradação da Água",3619
14785,"Comércio, Posse ou Tráfico Proveniente de Pesca Ilegal",3619
14786,"Destruição ou Degradação",3620
14787,"Destruição ou Degradação por Incêndio ou Perigo de Incêndio",3620
14788,"Destruição ou Degradação Mediante Desmatamento ou Exploração Econômica",3620
14789,"Extração ou Exploração Ilegal de Madeira e Condutas Equiparadas",3620
14790,"Comércio ou Posse Proveniente de Extração Ilegal de Madeira ",3620
14791,"Mineração Ilegal em Floresta",3620
14792,"Dano à Propriedade",3620
14793,"Outros Atos Contra o Meio Ambiente",3620
14794,"Traslado ou Descarte de Resíduos/Efluentes",3621
14796,"Posse ou Uso, ou Tráfico de Substância Tóxica ou Perigosa",3621
14797,"Traslado ou Descarte de Resíduos de Substância Tóxica ou Perigosa",3621
14798,"Estabelecimentos, Obras ou Serviços Potencialmente Poluidores",3621
14799,"Outros Atos Contra o Meio Ambiente",3621
14800,"Ato ou Omissão Praticado por Funcionário Público em Abuso de Função",10986
14801,"Atos Contrários à Fiscalização e ao Sistema de Aplicação da Lei",10986
14802,"Falsidade",10986
14803,"Tráfico de Material Nuclear",3623
14804,"Outros Atos que Potencialmente Causam Poluição ou Degradação por Radiação",3623
14805,"Atos Contra a Segurança por Violação de Sigilo",3623
14808,"Rural art. 59/63",6101
14809,"Urbano art. 60",6101
14810,"Acidente de Trabalho",6104
14812,"Estudante Universitário",14811
14813,"Menor sob Guarda",14811
14814,"Óbito de Pai/Mãe",14811
14815,"Óbito de Cônjuge",14811
14816,"Óbito de Filho/Filha",14811
14817,"Filho Maior e Inválido",14811
14818,"Urbana Pensão por Morte Art. 74/9",6104
14819,"Estudante Universitário",14818
14820,"Menor sob Guarda",14818
14821,"Óbito de Pai/Mãe",14818
14822,"Óbito de Cônjuge",14818
14823,"Óbito de Companheiro/Companheira",14818
14824,"Óbito de Companheiro/Companheira",14811
14825,"Óbito de Filho/Filha",14818
14826,"Filho Maior e Inválido",14818
14827,"Rural",6103
14828,"Urbano",6103
14829,"Trabalhadora Avulsa",14828
14830,"Empregada Doméstica",14828
14831,"Contribuinte Individual ou Segurada Desempregada",14828
14832,"Descontos Indevidos",6173
14833,"Restituição ao Erário",6173
14834,"Valores Antecipados na Tutela Posteriormente Revogada",14833
14835,"Ação Regressiva",14833
14836,"Cálculo do Benefício com Base na Regra Definitiva Prevista no Art. 29 da Lei 8.213/1991, Quando Mais Favorável que a Regra de Transição Contida no Art. 3º da Lei 9.876/1999",6119
14837,"Cálculo do Benefício com Base na Regra Definitiva Prevista no Art. 29 da Lei 8.213/1991, Quando Mais Favorável que a Regra de Transição Contida no Art. 3º da Lei 9.876/1999",6120
14838,"Averbação/Cômputo de Tempo de Serviço com Base em Sentença Trabalhista Homologatória de Acordo",6181
14839,"Averbação/Cômputo de Auxílio Doença Não Acidentário como Tempo de Serviço",6181
14840,"Defensoria Pública",10655
14841,"Defensores Dativos ou Ad Hoc",10655
14842,"Execução por RPV - Fracionamento",10655
14843,"Incidência após Transação",10655
14844,"Redução dos Honorários Contratuais",10655
14845,"Incidência na Execução Não Embargada",10656
14846,"Devolução",8928
14847,"Ausência de Prévio Requerimento Administrativo",8942
14849,"Homologação",8938
14851,"Transação",14849
14852,"Pagamento do Débito",9414
14853,"Prescrição Intercorrente",9414
14854,"Valor Irrisório",9414
14855,"Parte Incontroversa",10673
14856,"Habilitação de Herdeiros",9484
14857,"Suspensão da Execução",9148
14858,"Ausência de Bens Penhoráveis",14857
14859,"Parcelamento",14857
14860,"Incidência do Manual de Cálculos da Justiça Federal",10685
14861,"Inclusão de Expurgos Inflacionários",10685
14862,"Testemunha",10940
14863,"Perito",10940
14864,"Perícia Judicial",8990
14865,"Indeferida",14864
14868,"Contagem de Prazo",12420
14869,"Interposição Recursal em Juízo Incompetente",12420
14870,"Custas Estaduais",9050
14871,"Custas do Recurso",9050
14872,"Ausência de Recolhimento",9050
14873,"Complemento",9050
14875,"Ação Controlada",10604
14876,"Captação Ambiental de Sinais Eletromagnéticos, Ópticos e Acústicos",10604
14877,"Colaboração Premiada",10604
14878,"Cooperação entre Instituições e Órgãos Públicos na Busca de Provas/Informações",10604
14879,"Infiltração de Agentes",10604
14880,"Questões Incidentes",1209
14881,"Destinação de Bens e Mercadorias/Coisas Apreendidas",14880
14882,"Destinação de Recursos Decorrentes da Pena de Prestação Pecuniária",14880
14884,"Fundo de Saúde do Exército - FUSEX",6082
14885,"Fundo de Saúde da Aeronáutica - FUNSA",6082
14886,"Fundo de Saúde da Marinha - FUSMA",6082
14887,"Adicional de Plantão Hospitalar",6048
14888,"Indenização a Anistiados Políticos, Civis ou Militares",6048
14889,"Sobre a Receita Bruta Substitutiva",6048
14890,"Cooperativa",6035
14891,"Concessionárias de Veículos",6035
14892,"Equiparação com Instituições Financeiras",6035
14893,"Locação de Bem Móvel e Imóvel",6035
14894,"Regime Monofásico",6035
14895,"Cooperativa",6039
14896,"Concessionárias de Veículos",6039
14897,"Locação de Bem Móvel e Imóvel",6039
14898,"Regime Monofásico",6039
14899,"Cofins",6013
14900,"PIS",6013
14909,"Prisão Ilegal",9992
14910,"Acidente Ferroviário",14148
14916,"Fornecimento",9580
14917,"Cessão de Direitos",9580
14918,"Confissão/Composição de Dívida",9580
14919,"Atraso na Entrega do Imóvel",10439
14920,"Atraso na Entrega do Imóvel",10433
14921,"Direito Autoral",10439
14922,"Direito Autoral",10433
14923,"Partilha",7664
14924,"Partilha",7656
14925,"Repetição do Indébito",6220
14926,"Revisão de Juros Remuneratórios, Capitalização/Anatocismo",7752
14927,"Retificação",7895
14929,"Comutação de Pena",7791
14930,"Falta Grave",7791
14931,"Contagem de Prazo para os Benefícios",7791
14932,"Monitoração Eletrônica",7791
14933,"Saídas Temporárias",7791
14934,"Unificação de Pena",7791
14935,"Monitoração Eletrônica - Medida Cautelar",1209
14936,"Inelegibilidade - Perda de Mandato",11595
14938,"Inelegibilidade - Suspensão dos Direitos Políticos por Ato Doloso de Improbidade Administrativa",11595
14939,"Inelegibilidade - Responsável por Doação Tida com Ilegal",11595
14941,"Percentual de Gênero",11615
14942,"Violência Psicológica contra a Mulher",3400
14944,"Análogo à Violência Psicológica contra a Mulher",9659
14945,"Análogo à Lesão Corporal em Razão da Condição de Mulher",9641
14947,"Cofins",10959
14948,"PIS",10959
14949,"PIS - Cofins",10959
14950,"Pagamento",5990
14951,"Honorários Advocatícios",6017
14952,"Encargo de 20%",14951
14953,"Adesão a Programa de Parcelamento de Débito",14951
14954,"Inspeção em Estabelecimento Penal",10015
14955,"Inspeção na Área de Execução Penal e Corregedoria dos Presídios",10015
14956,"Interdição de Estabelecimento Penal",10015
14957,"Restituição de Coisas Apreendidas",14881
14958,"Destruição ou Destinação das Coisas Apreendidas",14881
14959,"Avaliação e Venda em Leilão Público",14881
14960,"Encaminhamento ao Comando do Exército",14881
14962,"Isenção sobre Bens Contidos em Remessas Postais Internacionais ",5941
14963,"Sobre Aquisição de Bens/Veículos ",5945
14964,"Veículos",14963
14965,"Motorista de Táxi",14964
14966,"Pessoa Portadora de Deficiência",14964
14967,"Sobre Importação de Bens/Veículos",5945
10745,"Filiação partidária",10740
14986,"Admissão Temporária",14967
14987,"Veículos - Uso Próprio",14967
14988,"Incidência sobre Ajuda de Custo",5917
14989,"Atividade Parlamentar",14988
14992,"Incidência sobre Benefícios Pagos Acumuladamente",5917
14993,"Incidência sobre Serviços Técnicos Prestados a Organismos Internacionais PNUD/UNESCO/ONU",5917
14994,"Incidência sobre Indenização a Anistiados Políticos, Civis ou Militares",5917
14995,"Incidência sobre Indenização por Rescisão de Contrato de Trabalho",5917
14996,"Redução de Alíquota IR/CSLL - Serviços Hospitalares",5933
15001,"Áreas de Livre Comércio - ZFM e/ou Outras",5915
15002,"Operações Comerciais",15001
15003,"Saída Temporária - Mercadorias",15001
15004,"Saída Temporária - Veículos",15001
15005,"Multa por Descumprimento de Obrigação Acessória",5985
15006,"Infração à Legislação Previdenciária",15005
15007,"Infração à Legislação Trabalhista",15005
15008,"Mudanças Climáticas",10110
15013,"Ausência ou Irregularidade no CNPJ",11725
15014,"Ausência ou Irregularidade no CNPJ",11747
15015,"Propaganda Política - Propaganda Eleitoral - Bem Particular de Uso Comum",11652
15016,"Propaganda Política - Propaganda Eleitoral - Carreata/Caminhada/Passeata",11652
15017,"Alteração da Estrutura Orgânica de Tribunal",11572
15018,"Candidatura Avulsa",11615
15020,"Denunciação Caluniosa para Fins Eleitorais",11467
15031,"Jornada Especial",10287
15033,"Objetos de Cartas Precatórias Criminais",1209
15034,"Citação",15033
15036,"Diligências",15033
15037,"Alvará de Soltura",15033
15038,"Prisão Preventiva",15033
13154,"Enfermagem / Enfermeiros ",7644
15039,"Prisão Temporária",15033
15041,"Oitiva",15033
15043,"Prisão Domiciliar",15033
15044,"Comunicação de Prisão - BNMP",15033
15046,"Investigação de Paternidade Pós Morte",5626
15047,"Reconhecimento/Dissolução Sócio Afetivo Pós Morte",5626
